COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
VIGO SYSTEM S.A.;VGO PW Equity;;0.2%;;;0.6%;0.7%;;;;;;;1.5%
GIEŁDA PRAW MAJĄTKOWYCH VINDEXUS S.A.;VIN PW Equity;;0.1%;;;;;;;;;;;0.1%
Veralto Corp;VLTO US Equity;;;0.0%;;;;;;;;;;0.0%
VULCAN MATERIALS CO;VMC US Equity;;;;;0.8%;;;;;;;;0.8%
Vonovia SE;VNA GR Equity;;;;;;;;;;0.9%;;;0.9%
VOTUM S.A.;VOT PW Equity;;0.2%;;0.2%;;;;;;;;;0.4%
VOXEL S.A.;VOX PW Equity;0.1%;0.3%;;0.2%;;;;;;0.7%;;;1.3%
Vercom S.A.;VRC PW Equity;1.2%;;;1.3%;;;0.2%;;0.0%;0.0%;;;2.7%
VRG S.A.;VRG PW Equity;;0.0%;;;;0.1%;;0.5%;0.0%;;;;0.6%
Vertiv Holdings Co.;VRT US Equity;;;;;;;0.6%;;;;;;0.6%
Vestas Wind Systems A/S;VWS DC Equity;;;;;;;;;;1.4%;;;1.4%
WABTEC CORP;WAB US Equity;;;;;0.4%;;;;;;;;0.4%
WASTE CONNECTIONS INC;WCN CN Equity;;;;;0.4%;;;;;;;;0.4%
Western Digital Corp.;WDC US Equity;;;;;;;0.7%;;;;;;0.7%
Wells Fargo & Co;WFC US Equity;;;;;0.5%;;0.6%;;;;;;1.1%
WIZZ AIR HOLDINGS PLC;WIZZ LN Equity;;;;0.4%;;;;;;1.3%;1.0%;;2.7%
WIELTON S.A.;WLT PW Equity;;0.2%;;;;0.2%;;;;0.3%;;;0.7%
WASTE MANAGEMENT INC;WM US Equity;;;;;0.4%;;0.2%;;;;;;0.6%
Wal-Mart Stores Inc;WMT US Equity;;;0.6%;;0.3%;;0.1%;;;;;;1.0%
WIRTUALNA POLSKA HOLDING S.A.;WPL PW Equity;2.5%;0.9%;1.5%;0.5%;1.2%;1.1%;;0.8%;0.7%;1.1%;0.9%;1.8%;13.1%
Wheaton Precious Metals Corp.;WPM CN Equity;;;;;;;0.4%;;;;;;0.4%
WITTCHEN S.A.;WTN PW Equity;;0.2%;;0.2%;;;;;;;0.8%;0.6%;1.8%
XTB S.A.;XTB PW Equity;;0.9%;;1.8%;0.8%;1.2%;1.9%;;1.1%;0.1%;0.9%;1.7%;10.3%
Xylem Inc.;XYL US Equity;;;;;;;;;;1.5%;;;1.5%
ZABKA GROUP SA;ZAB PW Equity;;;;;;;1.4%;;2.4%;;;;3.9%
ZALANDO SE;ZAL GR Equity;;;0.3%;;;;;;;;0.4%;;0.8%
GRUPA AZOTY ZAKŁADY AZOTOWE PUŁAWY S.A.;ZAP PW Equity;;0.1%;;;;;;;;;;;0.1%
ZESPÓŁ ELEKTROWNI PĄTNÓW-ADAMÓW-KONIN S.A.;ZEP PW Equity;;0.1%;;;;;;;;;;;0.1%
ZIPRECRUITER INC-A;ZIP US Equity;;;;;;;;;;;0.2%;;0.2%
ZUE S.A.;ZUE PW Equity;;0.1%;;;;;;;;;;;0.1%
