COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;Vienna Life;TOTAL
ERBUD S.A.;ERB PW Equity;;;;;;0.0003735658784076299;0.001212898982238192;;;;;;;;;;0.001586464860645822
EUROTEL SA;ETL PW Equity;;0.00022536633298234517;;;;;;;;;;;;;;0.000550560246656682;0.0007759265796390272
EUROCASH S.A.;EUR PW Equity;;0.0000016034893012742405;;;0.0029580531638832913;;0.003104457109991851;;0.0007107448611515932;0.0010072049687903643;;;;;;;0.007782063593118373
FABRITY S.A.;FAB PW Equity;;0.0002951374927280255;;;;;;;;;;;;;;;0.0002951374927280255
FREEPORT-MCMORAN INC;FCX US Equity;;;;;;0.0017118703772263436;;;0.010810705559668046;;;0.01055833475851083;;;;;0.02308091069540522
FEERUM S.A.;FEE PW Equity;;0.0010092674448377631;;;;;;;;;;;;;;;0.0010092674448377631
FRESNILLO PLC;FRES LN Equity;;;;;;0.001881959800798948;;;;;;;;;;;0.001881959800798948
FERRO S.A.;FRO PW Equity;0.0007873376149592055;0.0010630593898416421;;0.002936559939286376;0.00030323190419325623;0.0026524575721134486;0.001847829137612115;;;0.0006797329096079238;;;0.007375738132084941;0.0031941652119808633;0.0033283281871167025;;0.024168439998796476
FEDERAL SIGNAL CORPORATION;FSS US Equity;;;;;;0.0033657913668124173;;;;;;;;;;;0.0033657913668124173
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;;0.00021161873926133102;;;0.00034646261261379145;;;;;;;;0.007646382523892861;;;;0.008204463875767983
General Electric Co.;GE US Equity;;;;;;;;0.005017042704537069;;;;;;;;;0.005017042704537069
Grenevia S.A.;GEA PW Equity;;;;;;;;;;;;;0.00020961054925617225;;;;0.00020961054925617225
GE Vernova Inc.;GEV US Equity;;;;;;;;0.002661257502740481;;;;;;;;;0.002661257502740481
SOCIETE GENERALE PARIS;GLE FP Equity;;;;;0.004767304787648069;0.0008910533873737621;;;;;;;;;;;0.005658358175021831
ALPHABET INC.;GOOGL US Equity;;;0.019443946037494935;;;0.010698065060944606;;0.01995177908671591;;;0.005783179795232823;;;0.007528113405745795;;;0.06340508338613407
GRUPA PRACUJ S.A.;GPP PW Equity;;0.002182694638234222;;0.004038594127618718;;0.0031262889096869195;0.002758371364319908;;;0.0020649231233434182;;0.0022140739189121778;;;0.0042429342871684983;;0.02062788036928386
