COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;PZU TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL;Allianz Polska TFI S.A._pct;BNP Paribas TFI S.A._pct;ESALIENS TFI S.A._pct;Generali Investments TFI S.A._pct;Goldman Sachs TFI S.A._pct;Investors TFI S.A._pct;Millennium TFI S.A._pct;Nationale-Nederlanden_pct;PFR TFI S.A._pct;PKO TFI S.A._pct;PZU TFI S.A._pct;Pekao TFI S.A._pct;Pocztylion_pct;Santander TFI S.A._pct;UNIQA TFI S.A._pct;TOTAL_pct
HUUUGE INC.;HUG PW Equity;133498;11229;98850;0;39615;0;0;0;71;116691;0;178195;0;41367;0;619516;;;;;;;;;;;;;;;;
IMS S.A.;IMS PW Equity;0;105793;0;0;0;0;0;0;0;0;0;0;0;0;0;105793;;;;;;;;;;;;;;;;
INFINERA CORP;INFN US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;16346;0;16346;;;;;;;;;;;;;;;;
ING BANK ŚLĄSKI S.A.;ING PW Equity;0;7561;3158;6595;27045;10414;1779;0;1262;15775;5401;881;8114.2;0;12919;100904.2;;;;;;;;;;;;;;;;
INTER CARS S.A.;CAR PW Equity;17710;1928;0;2596;13216;6280;1528;0;899;57567;50949;8900;4407.7;6039;3565;175584.7;;;;;;;;;;;;;;;;
INTROL S.A.;INL PW Equity;0;26309;0;0;0;0;0;0;0;0;0;0;0;0;0;26309;;;;;;;;;;;;;;;;
IZOBLOK S.A.;IZB PW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;7317;0;7317;;;;;;;;;;;;;;;;
InPost S.A.;INPST NA Equity;0;0;0;24351;0;0;0;0;0;0;316240;141307;0;31546;54000;567444;;;;;;;;;;;;;;;;
Indra Sistemas SA;IDR SM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Infineon Technologies AG;IFX GR Equity;6038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6038;;;;;;;;;;;;;;;;
International Petroleum Corp.;IPCO SS Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
JASTRZĘBSKA SPÓŁKA WĘGLOWA S.A.;JSW PW Equity;0;11720;32390;0;22593;23456;6912;0;8723;213929;0;0;0;7706;82334;409763;;;;;;;;;;;;;;;;
JP Morgan Chase & Co.;JPM US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Johnson Controls International;JCI US Equity;0;0;0;0;0;0;0;0;0;0;0;11782;0;0;0;11782;;;;;;;;;;;;;;;;
K2 HOLDING SA;FAB PW Equity;0;2569;0;0;0;0;0;0;0;0;0;0;0;0;0;2569;;;;;;;;;;;;;;;;
KERNEL HOLDING SA;KER PW Equity;0;5227;0;0;0;0;0;0;0;73359;0;0;0;0;0;78586;;;;;;;;;;;;;;;;
KGHM POLSKA MIEDŹ S.A.;KGH PW Equity;129702;25143;12065;22691;122337;51680;15561;0;7973;624427;293111;80778;26048.3;35218;64774;1511508.3;;;;;;;;;;;;;;;;
KINO POLSKA TV S.A.;KPL PW Equity;0;11884;0;0;0;0;0;0;0;0;0;0;0;0;0;11884;;;;;;;;;;;;;;;;
KRUK S.A.;KRU PW Equity;24570;3943;0;6950;24834;7797;2443;0;2754;131883;56791;7349;7078.3;6896;11025;294313.3;;;;;;;;;;;;;;;;
Karuna Therapeutics Inc.;KRTX US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Kerry Group PLC;KYGA ID Equity;0;0;0;0;0;0;0;0;0;0;0;4612;0;0;0;4612;;;;;;;;;;;;;;;;
LEONARDO SPA;LDO IM Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;27890;0;27890;;;;;;;;;;;;;;;;
LIVECHAT SOFTWARE S.A.;TXT PW Equity;21589;4851;0;572;24787;8518;2670;0;2152;101914;82636;13685;10856.9;6378;28434;309042.9;;;;;;;;;;;;;;;;
LOKUM DEWELOPER S.A.;LKD PW Equity;0;5765;0;0;0;0;0;0;0;0;0;0;0;0;0;5765;;;;;;;;;;;;;;;;
LPP S.A.;LPP PW Equity;3261;253;83;518;1439;3948;133;0;92;7543;4385;1120;355.5;372;369;23871.5;;;;;;;;;;;;;;;;
LSI SOFTWARE S.A.;LSI PW Equity;0;9028;0;0;0;0;0;0;0;0;0;0;0;0;0;9028;;;;;;;;;;;;;;;;
LUBELSKI WĘGIEL BOGDANKA S.A.;LWB PW Equity;0;5848;3400;0;0;0;0;0;5429;0;0;0;0;11075;23022;48774;;;;;;;;;;;;;;;;
LVMH Moet Hennessy Louis Vuitton;MC FP Equity;0;0;0;337;0;0;0;0;0;0;0;0;0;0;0;337;;;;;;;;;;;;;;;;
Lockheed Martin Corporation;LMT US Equity;0;0;0;0;0;0;0;0;0;0;0;852;0;0;0;852;;;;;;;;;;;;;;;;
M.D.C. Holdings Inc.;MDC US Equity;0;0;0;0;0;0;0;0;0;0;0;11060;0;4046;0;15106;;;;;;;;;;;;;;;;
MABION S.A.;MAB PW Equity;0;77;0;0;4172;0;0;0;0;222;0;0;0;0;0;4471;;;;;;;;;;;;;;;;
MANGATA HOLDING S.A.;MGT PW Equity;0;471;0;0;0;0;0;0;0;0;0;0;5718.8;0;0;6189.8;;;;;;;;;;;;;;;;
MARVIPOL DEVELOPMENT S.A.;MVP PW Equity;0;8721;0;0;0;0;0;0;0;0;0;0;0;0;0;8721;;;;;;;;;;;;;;;;
MBANK S.A.;MBK PW Equity;57208;2360;1655;8280;9468;7738;890;0;840;58208;3114;14887;2143.8;4526;0;171317.8;;;;;;;;;;;;;;;;
MEDIGENE AG;MDG1 GR Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;15072;0;15072;;;;;;;;;;;;;;;;
MENNICA SKARBOWA S.A.;MNS PW Equity;0;0;0;0;0;0;0;0;767;0;0;0;0;0;0;767;;;;;;;;;;;;;;;;
MERCOR S.A.;MCR PW Equity;0;6916;0;0;0;0;0;0;0;0;0;0;0;0;0;6916;;;;;;;;;;;;;;;;
META PLATFORMS, INC.;META US Equity;0;0;4185;493;0;0;0;0;0;0;0;2393;0;1378;0;8449;;;;;;;;;;;;;;;;
MEYER BURGER TECHNOLOGY AG;MBTN SW Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;306535;0;306535;;;;;;;;;;;;;;;;
MFO S.A.;MFO PW Equity;0;4695;0;0;0;0;0;0;0;0;0;0;0;35583;16784;57062;;;;;;;;;;;;;;;;
MIRBUD S.A.;MRB PW Equity;0;11512;0;0;456620;67448;0;0;0;0;0;0;0;0;0;535580;;;;;;;;;;;;;;;;
MKS INSTRUMENTS, INC.;MKSI US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;1215;0;1215;;;;;;;;;;;;;;;;
ML SYSTEM SA;MLS PW Equity;0;295;0;0;0;0;5067;0;0;0;0;0;0;0;0;5362;;;;;;;;;;;;;;;;
MLP GROUP S.A.;MLG PW Equity;0;79;0;0;19972;4507;0;0;0;0;0;12598;0;0;4933;42089;;;;;;;;;;;;;;;;
MO-BRUK S.A.;MBR PW Equity;146;649;0;0;2863;0;819;0;0;12402;0;11376;0;2789;5560;36604;;;;;;;;;;;;;;;;
MTU Aero Engines AG;MTX GR Equity;0;0;0;311;0;0;0;0;0;0;0;0;0;0;0;311;;;;;;;;;;;;;;;;
Medinice S.A.;ICE PW Equity;30017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30017;;;;;;;;;;;;;;;;
Micron Technology Inc;MU US Equity;0;0;0;6043;0;0;0;0;0;0;0;0;0;0;0;6043;;;;;;;;;;;;;;;;
Microsoft Corporation;MSFT US Equity;0;0;0;1960;0;0;0;0;0;0;10937;3974;0;1851;0;18722;;;;;;;;;;;;;;;;
Modern Commerce S.A.;MO2 PW Equity;541098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;541098;;;;;;;;;;;;;;;;
Molecure S.A.;MOC PW Equity;35861;3485;0;0;0;0;0;0;0;0;0;0;0;0;0;39346;;;;;;;;;;;;;;;;
NEWAG S.A.;NWG PW Equity;0;0;0;0;11925;0;0;0;0;0;0;0;0;383;0;12308;;;;;;;;;;;;;;;;
NIKE;NKE US Equity;0;0;0;1694;0;0;0;0;0;0;0;0;0;0;0;1694;;;;;;;;;;;;;;;;
NVIDIA Corp;NVDA US Equity;0;0;0;2137;0;0;0;0;0;0;0;0;0;0;0;2137;;;;;;;;;;;;;;;;
NanoGroup S.A.;NNG PW Equity;0;12230;0;0;0;0;0;0;0;0;0;0;0;0;0;12230;;;;;;;;;;;;;;;;
Neuca SA;NEU PW Equity;21841;115;702;2169;1503;2425;420;0;0;23201;37543;2707;0;0;2562;95188;;;;;;;;;;;;;;;;
Newmont Mining Corp;NEM US Equity;10655;0;1013;0;0;0;0;0;0;0;27275;11334;0;0;0;50277;;;;;;;;;;;;;;;;
OCULAR THERAPEUTIX, INC.;OCUL US Equity;0;0;0;0;0;0;0;0;0;0;0;0;0;19642;0;19642;;;;;;;;;;;;;;;;
OEX S.A.;OEX PW Equity;0;3389;0;0;0;0;0;0;0;0;0;0;0;0;0;3389;;;;;;;;;;;;;;;;
OMV AG;OMV AV Equity;0;0;533;0;0;0;0;0;552;0;0;0;0;0;0;1085;;;;;;;;;;;;;;;;
ONDE S.A.;OND PW Equity;50595;140;0;0;0;0;0;0;0;0;0;0;17445.9;0;990;69170.9;;;;;;;;;;;;;;;;
ORANGE POLSKA S.A.;OPL PW Equity;173990;68925;160050;344506;302515;143554;81489;0;66125;3204123;3229491;325437;121971.2;136843;427433;8786452.2;;;;;;;;;;;;;;;;
ORZEŁ BIAŁY S.A.;OBL PW Equity;0;9579;0;0;0;0;0;0;0;0;0;0;0;0;0;9579;;;;;;;;;;;;;;;;
