COMPANY;TICKER;Allianz Polska TFI S.A.;BNP Paribas TFI S.A.;ESALIENS TFI S.A.;Generali Investments TFI S.A.;Goldman Sachs TFI S.A.;Investors TFI S.A.;Millennium TFI S.A.;Nationale-Nederlanden;PFR TFI S.A.;PKO TFI S.A.;Pekao TFI S.A.;Pocztylion;Santander TFI S.A.;UNIQA TFI S.A.;TOTAL
ENEA S.A.;ENA PW Equity;;0.0021403156439349486;0.009832141217615423;;0.0017914102859778974;0.002823812719847295;0.007344044419470545;;;0.002502870816166438;;;;;0.026434595103012546
ENTER AIR S.A.;ENT PW Equity;;;;0.008344071865027195;;0.0016090365719060762;;;;;;;;;0.009953108436933271
ERBUD S.A.;ERB PW Equity;;0.002056991269296574;;;;0.0016440511110217487;0.0007106754782338474;;0.003748760696389539;;;;0.005925019937883257;;0.014085498492824966
EUROTEL S.A.;ETL PW Equity;;0.0033524528881309595;;;;;;;;0.003716928752213809;;;;;0.007069381640344768
EUROCASH S.A.;EUR PW Equity;;0.002856754754759455;;;;;0.003632996812278822;;;0.007039146728139193;0.004887190350217197;;0.006989284523674335;;0.025405373169069003
K2 HOLDING SA;FAB PW Equity;;0.0011248376067096391;;;;;;;;;;;;;0.0011248376067096391
PLN FIELMANN AG;FIE GR Equity;;;0.006791114942313162;;;;;;;;;;;;0.006791114942313162
FERRO S.A.;FRO PW Equity;;0.000926568655722741;;0.007497017888690405;;0.005858739275129063;;0.0046474248168690785;0.0010074336650134369;0.001358020311219432;;0.005005280284215808;;0.0009005482047662107;0.027201033101626177
FAURECIA SE;FRVIA FP Equity;;;;;;;;;;;;;0.00503133666449103;;0.00503133666449103
FABRYKI MEBLI FORTE S.A.;FTE PW Equity;;0.0006639936507768227;;;;0.0008399305058010832;;;0.0005213826462425038;;;0.00355450893146589;;;0.0055798157342863
FAMUR S.A.;GEA PW Equity;;0.007240361367345447;0.011972586471329356;;0.019706440979144857;;;;;0.0006889247223968512;0.004364912411966205;;0.007083541381001995;;0.05105676733318472
PLN GLOBAL FASHION GROUP SA;GFG GR Equity;;;0.000019957072960313862;;;;;;;;;;;;0.000019957072960313862
PLN GILEAD SCIENCES INC;GILD US Equity;;;0.0010438107117546666;;;;;;;;;;;;0.0010438107117546666
